neighbourhood_name,total_species,prop
ARBUTUS-RIDGE,121,0.4275618374558304
DOWNTOWN,79,0.2791519434628975
DUNBAR-SOUTHLANDS,161,0.568904593639576
FAIRVIEW,119,0.4204946996466431
GRANDVIEW-WOODLAND,146,0.5159010600706714
HASTINGS-SUNRISE,176,0.6219081272084805
KENSINGTON-CEDAR COTTAGE,159,0.5618374558303887
KERRISDALE,138,0.4876325088339223
KILLARNEY,122,0.43109540636042404
KITSILANO,171,0.6042402826855123
MARPOLE,139,0.4911660777385159
MOUNT PLEASANT,134,0.4734982332155477
OAKRIDGE,133,0.46996466431095407
RENFREW-COLLINGWOOD,170,0.6007067137809188
RILEY PARK,154,0.5441696113074205
SHAUGHNESSY,150,0.5300353356890459
SOUTH CAMBIE,127,0.44876325088339225
STRATHCONA,122,0.43109540636042404
SUNSET,147,0.519434628975265
VICTORIA-FRASERVIEW,131,0.4628975265017668
WEST END,120,0.42402826855123676
WEST POINT GREY,137,0.4840989399293286
